feature_pair,feature_a,feature_b,schemas_with_pair,schemas_without_pair,support,over_with_pair,over_without_pair,over_denominator_with,over_denominator_without,over_rate_with,over_rate_without,lift,delta,eligible_lift
has_maximum__AND__has_properties,has_maximum,has_properties,19,76,0.2,21,99,26,130,0.807692,0.761538,1.06061,0.0461538,true
has_maximum__AND__has_type,has_maximum,has_type,19,76,0.2,21,99,26,130,0.807692,0.761538,1.06061,0.0461538,true
has_maxLength__AND__has_pattern,has_maxLength,has_pattern,18,77,0.189474,22,98,28,128,0.785714,0.765625,1.02624,0.0200893,true
has_enum__AND__has_maxLength,has_enum,has_maxLength,18,77,0.189474,21,99,27,129,0.777778,0.767442,1.01347,0.0103359,true
has_minLength__AND__has_pattern,has_minLength,has_pattern,16,79,0.168421,19,101,25,131,0.76,0.770992,0.985743,-0.0109924,true
has_items__AND__has_maxLength,has_items,has_maxLength,20,75,0.210526,23,97,31,125,0.741935,0.776,0.956102,-0.0340645,true
has_maxLength__AND__has_properties,has_maxLength,has_properties,20,75,0.210526,23,97,31,125,0.741935,0.776,0.956102,-0.0340645,true
has_maxLength__AND__has_required,has_maxLength,has_required,20,75,0.210526,23,97,31,125,0.741935,0.776,0.956102,-0.0340645,true
has_maxLength__AND__has_type,has_maxLength,has_type,20,75,0.210526,23,97,31,125,0.741935,0.776,0.956102,-0.0340645,true
has_enum__AND__has_minLength,has_enum,has_minLength,15,80,0.157895,17,103,23,133,0.73913,0.774436,0.954411,-0.0353057,true
has_defs__AND__has_minItems,has_defs,has_minItems,17,78,0.178947,18,102,25,131,0.72,0.778626,0.924706,-0.058626,true
has_minItems__AND__has_ref,has_minItems,has_ref,17,78,0.178947,18,102,25,131,0.72,0.778626,0.924706,-0.058626,true
has_enum__AND__has_minItems,has_enum,has_minItems,23,72,0.242105,22,98,32,124,0.6875,0.790323,0.869898,-0.102823,true
has_additionalProperties__AND__has_maxLength,has_additionalProperties,has_maxLength,16,79,0.168421,17,103,25,131,0.68,0.78626,0.864854,-0.10626,true
has_boolean_schema__AND__has_maxLength,has_boolean_schema,has_maxLength,16,79,0.168421,17,103,25,131,0.68,0.78626,0.864854,-0.10626,true
has_maxLength__AND__has_minLength,has_maxLength,has_minLength,16,79,0.168421,17,103,25,131,0.68,0.78626,0.864854,-0.10626,true
has_additionalProperties__AND__has_minLength,has_additionalProperties,has_minLength,15,80,0.157895,16,104,24,132,0.666667,0.787879,0.846154,-0.121212,true
has_boolean_schema__AND__has_minLength,has_boolean_schema,has_minLength,15,80,0.157895,16,104,24,132,0.666667,0.787879,0.846154,-0.121212,true
has_minItems__AND__has_pattern,has_minItems,has_pattern,15,80,0.157895,13,107,21,135,0.619048,0.792593,0.781041,-0.173545,true
has_additionalProperties__AND__has_minItems,has_additionalProperties,has_minItems,15,80,0.157895,12,108,22,134,0.545455,0.80597,0.676768,-0.260516,true
has_boolean_schema__AND__has_minItems,has_boolean_schema,has_minItems,15,80,0.157895,12,108,22,134,0.545455,0.80597,0.676768,-0.260516,true
has_items__AND__has_minLength,has_items,has_minLength,24,71,0.252632,21,99,41,115,0.512195,0.86087,0.594974,-0.348674,true
has_minLength__AND__has_properties,has_minLength,has_properties,24,71,0.252632,21,99,41,115,0.512195,0.86087,0.594974,-0.348674,true
has_minLength__AND__has_required,has_minLength,has_required,24,71,0.252632,21,99,41,115,0.512195,0.86087,0.594974,-0.348674,true
has_minLength__AND__has_type,has_minLength,has_type,24,71,0.252632,21,99,41,115,0.512195,0.86087,0.594974,-0.348674,true
has_items__AND__has_minItems,has_items,has_minItems,32,63,0.336842,23,97,49,107,0.469388,0.906542,0.517778,-0.437154,true
has_minItems__AND__has_properties,has_minItems,has_properties,32,63,0.336842,23,97,49,107,0.469388,0.906542,0.517778,-0.437154,true
has_minItems__AND__has_required,has_minItems,has_required,32,63,0.336842,23,97,49,107,0.469388,0.906542,0.517778,-0.437154,true
has_minItems__AND__has_type,has_minItems,has_type,32,63,0.336842,23,97,49,107,0.469388,0.906542,0.517778,-0.437154,true
has_minItems__AND__has_minLength,has_minItems,has_minLength,18,77,0.189474,11,109,31,125,0.354839,0.872,0.406925,-0.517161,true
has_properties__AND__has_type,has_properties,has_type,95,0,1,120,0,156,0,0.769231,0,inf,0.769231,false
has_items__AND__has_properties,has_items,has_properties,90,5,0.947368,118,2,147,9,0.802721,0.222222,3.61224,0.580499,false
has_items__AND__has_type,has_items,has_type,90,5,0.947368,118,2,147,9,0.802721,0.222222,3.61224,0.580499,false
has_default__AND__has_minimum,has_default,has_minimum,11,84,0.115789,16,104,16,140,1,0.742857,1.34615,0.257143,false
has_allOf__AND__has_minimum,has_allOf,has_minimum,9,86,0.0947368,14,106,14,142,1,0.746479,1.33962,0.253521,false
has_additionalProperties__AND__has_maxProperties,has_additionalProperties,has_maxProperties,8,87,0.0842105,14,106,14,142,1,0.746479,1.33962,0.253521,false
has_additionalProperties__AND__has_minProperties,has_additionalProperties,has_minProperties,8,87,0.0842105,14,106,14,142,1,0.746479,1.33962,0.253521,false
has_boolean_schema__AND__has_maxProperties,has_boolean_schema,has_maxProperties,8,87,0.0842105,14,106,14,142,1,0.746479,1.33962,0.253521,false
has_boolean_schema__AND__has_minProperties,has_boolean_schema,has_minProperties,8,87,0.0842105,14,106,14,142,1,0.746479,1.33962,0.253521,false
has_defs__AND__has_maxProperties,has_defs,has_maxProperties,8,87,0.0842105,14,106,14,142,1,0.746479,1.33962,0.253521,false
has_defs__AND__has_minProperties,has_defs,has_minProperties,8,87,0.0842105,14,106,14,142,1,0.746479,1.33962,0.253521,false
has_enum__AND__has_maxProperties,has_enum,has_maxProperties,8,87,0.0842105,14,106,14,142,1,0.746479,1.33962,0.253521,false
has_enum__AND__has_minProperties,has_enum,has_minProperties,8,87,0.0842105,14,106,14,142,1,0.746479,1.33962,0.253521,false
has_items__AND__has_maxProperties,has_items,has_maxProperties,8,87,0.0842105,14,106,14,142,1,0.746479,1.33962,0.253521,false
has_items__AND__has_minProperties,has_items,has_minProperties,8,87,0.0842105,14,106,14,142,1,0.746479,1.33962,0.253521,false
has_maxProperties__AND__has_minProperties,has_maxProperties,has_minProperties,8,87,0.0842105,14,106,14,142,1,0.746479,1.33962,0.253521,false
has_maxProperties__AND__has_oneOf,has_maxProperties,has_oneOf,8,87,0.0842105,14,106,14,142,1,0.746479,1.33962,0.253521,false
has_maxProperties__AND__has_pattern,has_maxProperties,has_pattern,8,87,0.0842105,14,106,14,142,1,0.746479,1.33962,0.253521,false
has_maxProperties__AND__has_properties,has_maxProperties,has_properties,8,87,0.0842105,14,106,14,142,1,0.746479,1.33962,0.253521,false
has_maxProperties__AND__has_ref,has_maxProperties,has_ref,8,87,0.0842105,14,106,14,142,1,0.746479,1.33962,0.253521,false
has_maxProperties__AND__has_required,has_maxProperties,has_required,8,87,0.0842105,14,106,14,142,1,0.746479,1.33962,0.253521,false
has_maxProperties__AND__has_type,has_maxProperties,has_type,8,87,0.0842105,14,106,14,142,1,0.746479,1.33962,0.253521,false
has_minProperties__AND__has_oneOf,has_minProperties,has_oneOf,8,87,0.0842105,14,106,14,142,1,0.746479,1.33962,0.253521,false
has_minProperties__AND__has_pattern,has_minProperties,has_pattern,8,87,0.0842105,14,106,14,142,1,0.746479,1.33962,0.253521,false
has_minProperties__AND__has_properties,has_minProperties,has_properties,8,87,0.0842105,14,106,14,142,1,0.746479,1.33962,0.253521,false
has_minProperties__AND__has_ref,has_minProperties,has_ref,8,87,0.0842105,14,106,14,142,1,0.746479,1.33962,0.253521,false
has_minProperties__AND__has_required,has_minProperties,has_required,8,87,0.0842105,14,106,14,142,1,0.746479,1.33962,0.253521,false
has_minProperties__AND__has_type,has_minProperties,has_type,8,87,0.0842105,14,106,14,142,1,0.746479,1.33962,0.253521,false
has_maxItems__AND__has_minimum,has_maxItems,has_minimum,8,87,0.0842105,10,110,10,146,1,0.753425,1.32727,0.246575,false
has_defs__AND__has_patternProperties,has_defs,has_patternProperties,7,88,0.0736842,10,110,10,146,1,0.753425,1.32727,0.246575,false
has_enum__AND__has_patternProperties,has_enum,has_patternProperties,7,88,0.0736842,10,110,10,146,1,0.753425,1.32727,0.246575,false
has_items__AND__has_patternProperties,has_items,has_patternProperties,7,88,0.0736842,10,110,10,146,1,0.753425,1.32727,0.246575,false
has_patternProperties__AND__has_properties,has_patternProperties,has_properties,7,88,0.0736842,10,110,10,146,1,0.753425,1.32727,0.246575,false
has_patternProperties__AND__has_ref,has_patternProperties,has_ref,7,88,0.0736842,10,110,10,146,1,0.753425,1.32727,0.246575,false
has_patternProperties__AND__has_required,has_patternProperties,has_required,7,88,0.0736842,10,110,10,146,1,0.753425,1.32727,0.246575,false
has_patternProperties__AND__has_type,has_patternProperties,has_type,7,88,0.0736842,10,110,10,146,1,0.753425,1.32727,0.246575,false
has_allOf__AND__has_default,has_allOf,has_default,5,90,0.0526316,8,112,8,148,1,0.756757,1.32143,0.243243,false
has_default__AND__has_patternProperties,has_default,has_patternProperties,5,90,0.0526316,8,112,8,148,1,0.756757,1.32143,0.243243,false
has_minItems__AND__has_patternProperties,has_minItems,has_patternProperties,5,90,0.0526316,8,112,8,148,1,0.756757,1.32143,0.243243,false
has_minimum__AND__has_patternProperties,has_minimum,has_patternProperties,5,90,0.0526316,8,112,8,148,1,0.756757,1.32143,0.243243,false
has_allOf__AND__has_maximum,has_allOf,has_maximum,4,91,0.0421053,6,114,6,150,1,0.76,1.31579,0.24,false
has_maxItems__AND__has_maximum,has_maxItems,has_maximum,5,90,0.0526316,5,115,5,151,1,0.761589,1.31304,0.238411,false
has_additionalProperties__AND__has_patternProperties,has_additionalProperties,has_patternProperties,4,91,0.0421053,5,115,5,151,1,0.761589,1.31304,0.238411,false
has_pattern__AND__has_patternProperties,has_pattern,has_patternProperties,4,91,0.0421053,5,115,5,151,1,0.761589,1.31304,0.238411,false
has_additionalProperties__AND__has_exclusiveMaximum,has_additionalProperties,has_exclusiveMaximum,3,92,0.0315789,5,115,5,151,1,0.761589,1.31304,0.238411,false
