feature_pair,feature_a,feature_b,schemas_with_pair,schemas_without_pair,support,timeout_with_pair,timeout_without_pair,timeout_denominator_with,timeout_denominator_without,timeout_rate_with,timeout_rate_without,lift,delta,eligible_lift
has_default__AND__has_minLength,has_default,has_minLength,6,1783,0.00335383,0,24,6,1783,0,0.0134605,0,-0.0134605,true
has_defs__AND__has_maximum,has_defs,has_maximum,6,1783,0.00335383,0,24,6,1783,0,0.0134605,0,-0.0134605,true
has_maxLength__AND__has_minItems,has_maxLength,has_minItems,6,1783,0.00335383,0,24,6,1783,0,0.0134605,0,-0.0134605,true
has_minimum__AND__has_multipleOf,has_minimum,has_multipleOf,6,1783,0.00335383,0,24,6,1783,0,0.0134605,0,-0.0134605,true
has_oneOf__AND__has_patternProperties,has_oneOf,has_patternProperties,6,1783,0.00335383,0,24,6,1783,0,0.0134605,0,-0.0134605,true
has_additionalProperties__AND__has_const,has_additionalProperties,has_const,7,1782,0.0039128,0,24,7,1782,0,0.013468,0,-0.013468,true
has_anyOf__AND__has_default,has_anyOf,has_default,7,1782,0.0039128,0,24,7,1782,0,0.013468,0,-0.013468,true
has_anyOf__AND__has_minLength,has_anyOf,has_minLength,7,1782,0.0039128,0,24,7,1782,0,0.013468,0,-0.013468,true
has_const__AND__has_required,has_const,has_required,7,1782,0.0039128,0,24,7,1782,0,0.013468,0,-0.013468,true
has_defs__AND__has_patternProperties,has_defs,has_patternProperties,7,1782,0.0039128,0,24,7,1782,0,0.013468,0,-0.013468,true
has_maximum__AND__has_minItems,has_maximum,has_minItems,7,1782,0.0039128,0,24,7,1782,0,0.013468,0,-0.013468,true
has_maximum__AND__has_ref,has_maximum,has_ref,7,1782,0.0039128,0,24,7,1782,0,0.013468,0,-0.013468,true
has_patternProperties__AND__has_ref,has_patternProperties,has_ref,7,1782,0.0039128,0,24,7,1782,0,0.013468,0,-0.013468,true
has_default__AND__has_maxLength,has_default,has_maxLength,8,1781,0.00447177,0,24,8,1781,0,0.0134756,0,-0.0134756,true
has_additionalProperties__AND__has_multipleOf,has_additionalProperties,has_multipleOf,9,1780,0.00503074,0,24,9,1780,0,0.0134831,0,-0.0134831,true
has_allOf__AND__has_boolean_schema,has_allOf,has_boolean_schema,9,1780,0.00503074,0,24,9,1780,0,0.0134831,0,-0.0134831,true
has_allOf__AND__has_items,has_allOf,has_items,9,1780,0.00503074,0,24,9,1780,0,0.0134831,0,-0.0134831,true
has_boolean_schema__AND__has_minProperties,has_boolean_schema,has_minProperties,9,1780,0.00503074,0,24,9,1780,0,0.0134831,0,-0.0134831,true
has_boolean_schema__AND__has_multipleOf,has_boolean_schema,has_multipleOf,9,1780,0.00503074,0,24,9,1780,0,0.0134831,0,-0.0134831,true
has_default__AND__has_minItems,has_default,has_minItems,9,1780,0.00503074,0,24,9,1780,0,0.0134831,0,-0.0134831,true
has_default__AND__has_ref,has_default,has_ref,9,1780,0.00503074,0,24,9,1780,0,0.0134831,0,-0.0134831,true
has_minItems__AND__has_patternProperties,has_minItems,has_patternProperties,9,1780,0.00503074,0,24,9,1780,0,0.0134831,0,-0.0134831,true
has_multipleOf__AND__has_required,has_multipleOf,has_required,9,1780,0.00503074,0,24,9,1780,0,0.0134831,0,-0.0134831,true
has_const__AND__has_properties,has_const,has_properties,10,1779,0.00558971,0,24,10,1779,0,0.0134907,0,-0.0134907,true
has_const__AND__has_type,has_const,has_type,10,1779,0.00558971,0,24,10,1779,0,0.0134907,0,-0.0134907,true
has_multipleOf__AND__has_properties,has_multipleOf,has_properties,10,1779,0.00558971,0,24,10,1779,0,0.0134907,0,-0.0134907,true
has_multipleOf__AND__has_type,has_multipleOf,has_type,10,1779,0.00558971,0,24,10,1779,0,0.0134907,0,-0.0134907,true
has_additionalProperties__AND__has_allOf,has_additionalProperties,has_allOf,11,1778,0.00614869,0,24,11,1778,0,0.0134983,0,-0.0134983,true
has_anyOf__AND__has_minItems,has_anyOf,has_minItems,11,1778,0.00614869,0,24,11,1778,0,0.0134983,0,-0.0134983,true
has_anyOf__AND__has_pattern,has_anyOf,has_pattern,11,1778,0.00614869,0,24,11,1778,0,0.0134983,0,-0.0134983,true
has_default__AND__has_defs,has_default,has_defs,11,1778,0.00614869,0,24,11,1778,0,0.0134983,0,-0.0134983,true
has_minItems__AND__has_oneOf,has_minItems,has_oneOf,11,1778,0.00614869,0,24,11,1778,0,0.0134983,0,-0.0134983,true
has_default__AND__has_pattern,has_default,has_pattern,12,1777,0.00670766,0,24,12,1777,0,0.0135059,0,-0.0135059,true
has_maximum__AND__has_pattern,has_maximum,has_pattern,12,1777,0.00670766,0,24,12,1777,0,0.0135059,0,-0.0135059,true
has_minProperties__AND__has_required,has_minProperties,has_required,12,1777,0.00670766,0,24,12,1777,0,0.0135059,0,-0.0135059,true
has_defs__AND__has_minLength,has_defs,has_minLength,13,1776,0.00726663,0,24,13,1776,0,0.0135135,0,-0.0135135,true
has_enum__AND__has_maxItems,has_enum,has_maxItems,13,1776,0.00726663,0,24,13,1776,0,0.0135135,0,-0.0135135,true
has_minItems__AND__has_ref,has_minItems,has_ref,13,1776,0.00726663,0,24,13,1776,0,0.0135135,0,-0.0135135,true
has_minLength__AND__has_ref,has_minLength,has_ref,13,1776,0.00726663,0,24,13,1776,0,0.0135135,0,-0.0135135,true
has_additionalProperties__AND__has_minProperties,has_additionalProperties,has_minProperties,14,1775,0.0078256,0,24,14,1775,0,0.0135211,0,-0.0135211,true
has_defs__AND__has_minItems,has_defs,has_minItems,14,1775,0.0078256,0,24,14,1775,0,0.0135211,0,-0.0135211,true
has_items__AND__has_patternProperties,has_items,has_patternProperties,14,1775,0.0078256,0,24,14,1775,0,0.0135211,0,-0.0135211,true
has_minItems__AND__has_pattern,has_minItems,has_pattern,14,1775,0.0078256,0,24,14,1775,0,0.0135211,0,-0.0135211,true
has_minItems__AND__has_minimum,has_minItems,has_minimum,15,1774,0.00838457,0,24,15,1774,0,0.0135287,0,-0.0135287,true
has_anyOf__AND__has_enum,has_anyOf,has_enum,16,1773,0.00894354,0,24,16,1773,0,0.0135364,0,-0.0135364,true
has_minProperties__AND__has_properties,has_minProperties,has_properties,16,1773,0.00894354,0,24,16,1773,0,0.0135364,0,-0.0135364,true
has_allOf__AND__has_defs,has_allOf,has_defs,18,1771,0.0100615,0,24,18,1771,0,0.0135517,0,-0.0135517,true
has_allOf__AND__has_ref,has_allOf,has_ref,18,1771,0.0100615,0,24,18,1771,0,0.0135517,0,-0.0135517,true
has_allOf__AND__has_required,has_allOf,has_required,18,1771,0.0100615,0,24,18,1771,0,0.0135517,0,-0.0135517,true
has_oneOf__AND__has_pattern,has_oneOf,has_pattern,18,1771,0.0100615,0,24,18,1771,0,0.0135517,0,-0.0135517,true
has_default__AND__has_maximum,has_default,has_maximum,19,1770,0.0106205,0,24,19,1770,0,0.0135593,0,-0.0135593,true
has_defs__AND__has_minimum,has_defs,has_minimum,19,1770,0.0106205,0,24,19,1770,0,0.0135593,0,-0.0135593,true
has_items__AND__has_maximum,has_items,has_maximum,19,1770,0.0106205,0,24,19,1770,0,0.0135593,0,-0.0135593,true
has_minimum__AND__has_ref,has_minimum,has_ref,19,1770,0.0106205,0,24,19,1770,0,0.0135593,0,-0.0135593,true
has_defs__AND__has_oneOf,has_defs,has_oneOf,20,1769,0.0111794,0,24,20,1769,0,0.013567,0,-0.013567,true
has_oneOf__AND__has_ref,has_oneOf,has_ref,20,1769,0.0111794,0,24,20,1769,0,0.013567,0,-0.013567,true
has_minProperties__AND__has_type,has_minProperties,has_type,21,1768,0.0117384,0,24,21,1768,0,0.0135747,0,-0.0135747,true
has_allOf__AND__has_properties,has_allOf,has_properties,22,1767,0.0122974,0,24,22,1767,0,0.0135823,0,-0.0135823,true
has_allOf__AND__has_type,has_allOf,has_type,22,1767,0.0122974,0,24,22,1767,0,0.0135823,0,-0.0135823,true
has_anyOf__AND__has_ref,has_anyOf,has_ref,22,1767,0.0122974,0,24,22,1767,0,0.0135823,0,-0.0135823,true
has_minItems__AND__has_minLength,has_minItems,has_minLength,22,1767,0.0122974,0,24,22,1767,0,0.0135823,0,-0.0135823,true
has_pattern__AND__has_ref,has_pattern,has_ref,22,1767,0.0122974,0,24,22,1767,0,0.0135823,0,-0.0135823,true
has_anyOf__AND__has_defs,has_anyOf,has_defs,24,1765,0.0134153,0,24,24,1765,0,0.0135977,0,-0.0135977,true
has_defs__AND__has_pattern,has_defs,has_pattern,24,1765,0.0134153,0,24,24,1765,0,0.0135977,0,-0.0135977,true
has_enum__AND__has_minItems,has_enum,has_minItems,24,1765,0.0134153,0,24,24,1765,0,0.0135977,0,-0.0135977,true
has_minimum__AND__has_pattern,has_minimum,has_pattern,24,1765,0.0134153,0,24,24,1765,0,0.0135977,0,-0.0135977,true
has_patternProperties__AND__has_required,has_patternProperties,has_required,24,1765,0.0134153,0,24,24,1765,0,0.0135977,0,-0.0135977,true
has_anyOf__AND__has_boolean_schema,has_anyOf,has_boolean_schema,26,1763,0.0145333,0,24,26,1763,0,0.0136132,0,-0.0136132,true
has_maxItems__AND__has_minItems,has_maxItems,has_minItems,27,1762,0.0150922,0,24,27,1762,0,0.0136209,0,-0.0136209,true
has_additionalProperties__AND__has_anyOf,has_additionalProperties,has_anyOf,28,1761,0.0156512,0,24,28,1761,0,0.0136286,0,-0.0136286,true
has_anyOf__AND__has_items,has_anyOf,has_items,31,1758,0.0173281,0,24,31,1758,0,0.0136519,0,-0.0136519,true
has_default__AND__has_minimum,has_default,has_minimum,32,1757,0.0178871,0,24,32,1757,0,0.0136596,0,-0.0136596,true
has_default__AND__has_enum,has_default,has_enum,37,1752,0.0206819,0,24,37,1752,0,0.0136986,0,-0.0136986,true
has_default__AND__has_items,has_default,has_items,37,1752,0.0206819,0,24,37,1752,0,0.0136986,0,-0.0136986,true
has_enum__AND__has_ref,has_enum,has_ref,41,1748,0.0229178,0,24,41,1748,0,0.01373,0,-0.01373,true
has_defs__AND__has_enum,has_defs,has_enum,42,1747,0.0234768,0,24,42,1747,0,0.0137378,0,-0.0137378,true
has_additionalProperties__AND__has_minItems,has_additionalProperties,has_minItems,48,1741,0.0268306,0,24,48,1741,0,0.0137852,0,-0.0137852,true
has_anyOf__AND__has_required,has_anyOf,has_required,48,1741,0.0268306,0,24,48,1741,0,0.0137852,0,-0.0137852,true
has_boolean_schema__AND__has_minItems,has_boolean_schema,has_minItems,49,1740,0.0273896,0,24,49,1740,0,0.0137931,0,-0.0137931,true
has_enum__AND__has_pattern,has_enum,has_pattern,51,1738,0.0285075,0,24,51,1738,0,0.013809,0,-0.013809,true
has_boolean_schema__AND__has_default,has_boolean_schema,has_default,67,1722,0.0374511,0,24,67,1722,0,0.0139373,0,-0.0139373,true
has_additionalProperties__AND__has_default,has_additionalProperties,has_default,68,1721,0.0380101,0,24,68,1721,0,0.0139454,0,-0.0139454,true
has_anyOf__AND__has_properties,has_anyOf,has_properties,68,1721,0.0380101,0,24,68,1721,0,0.0139454,0,-0.0139454,true
