feature_pair,feature_a,feature_b,schemas_with_pair,schemas_without_pair,support,over_with_pair,over_without_pair,over_denominator_with,over_denominator_without,over_rate_with,over_rate_without,lift,delta,eligible_lift
has_enum__AND__has_patternProperties,has_enum,has_patternProperties,7,88,0.0736842,8,50,10,148,0.8,0.337838,2.368,0.462162,false
has_items__AND__has_patternProperties,has_items,has_patternProperties,7,88,0.0736842,8,50,10,148,0.8,0.337838,2.368,0.462162,false
has_patternProperties__AND__has_properties,has_patternProperties,has_properties,7,88,0.0736842,8,50,10,148,0.8,0.337838,2.368,0.462162,false
has_patternProperties__AND__has_ref,has_patternProperties,has_ref,7,88,0.0736842,8,50,10,148,0.8,0.337838,2.368,0.462162,false
has_patternProperties__AND__has_required,has_patternProperties,has_required,7,88,0.0736842,8,50,10,148,0.8,0.337838,2.368,0.462162,false
has_patternProperties__AND__has_type,has_patternProperties,has_type,7,88,0.0736842,8,50,10,148,0.8,0.337838,2.368,0.462162,false
has_maxItems__AND__has_maxLength,has_maxItems,has_maxLength,6,89,0.0631579,8,50,10,148,0.8,0.337838,2.368,0.462162,false
has_maxItems__AND__has_minLength,has_maxItems,has_minLength,6,89,0.0631579,8,50,10,148,0.8,0.337838,2.368,0.462162,false
has_default__AND__has_minimum,has_default,has_minimum,11,84,0.115789,13,45,18,140,0.722222,0.321429,2.24691,0.400794,false
has_maxItems__AND__has_pattern,has_maxItems,has_pattern,7,88,0.0736842,8,50,11,147,0.727273,0.340136,2.13818,0.387137,false
has_boolean_schema__AND__has_patternProperties,has_boolean_schema,has_patternProperties,3,92,0.0315789,3,55,4,154,0.75,0.357143,2.1,0.392857,false
has_default__AND__has_maximum,has_default,has_maximum,4,91,0.0421053,4,54,6,152,0.666667,0.355263,1.87654,0.311404,false
has_allOf__AND__has_patternProperties,has_allOf,has_patternProperties,2,93,0.0210526,2,56,3,155,0.666667,0.36129,1.84524,0.305376,false
has_anyOf__AND__has_patternProperties,has_anyOf,has_patternProperties,2,93,0.0210526,2,56,3,155,0.666667,0.36129,1.84524,0.305376,false
has_additionalProperties__AND__has_maxItems,has_additionalProperties,has_maxItems,8,87,0.0842105,8,50,13,145,0.615385,0.344828,1.78462,0.270557,false
has_boolean_schema__AND__has_maxItems,has_boolean_schema,has_maxItems,8,87,0.0842105,8,50,13,145,0.615385,0.344828,1.78462,0.270557,false
has_default__AND__has_minItems,has_default,has_minItems,8,87,0.0842105,7,51,12,146,0.583333,0.349315,1.66993,0.234018,false
has_additionalProperties__AND__has_patternProperties,has_additionalProperties,has_patternProperties,4,91,0.0421053,3,55,5,153,0.6,0.359477,1.66909,0.240523,false
