feature_pair,feature_a,feature_b,schemas_with_pair,schemas_without_pair,support,under_with_pair,under_without_pair,under_denominator_with,under_denominator_without,under_rate_with,under_rate_without,lift,delta,eligible_lift
has_not__AND__has_propertyNames,has_not,has_propertyNames,1,1822,0.000548546,0,985,7,5474,0,0.179942,0,-0.179942,false
has_anyOf__AND__has_if_then_else,has_anyOf,has_if_then_else,3,1820,0.00164564,0,985,8,5473,0,0.179974,0,-0.179974,false
has_if_then_else__AND__has_items,has_if_then_else,has_items,3,1820,0.00164564,0,985,8,5473,0,0.179974,0,-0.179974,false
has_if_then_else__AND__has_minItems,has_if_then_else,has_minItems,3,1820,0.00164564,0,985,8,5473,0,0.179974,0,-0.179974,false
has_anyOf__AND__has_propertyNames,has_anyOf,has_propertyNames,2,1821,0.00109709,0,985,9,5472,0,0.180007,0,-0.180007,false
has_const__AND__has_propertyNames,has_const,has_propertyNames,2,1821,0.00109709,0,985,9,5472,0,0.180007,0,-0.180007,false
has_enum__AND__has_if_then_else,has_enum,has_if_then_else,3,1820,0.00164564,0,985,10,5471,0,0.18004,0,-0.18004,false
has_if_then_else__AND__has_pattern,has_if_then_else,has_pattern,3,1820,0.00164564,0,985,10,5471,0,0.18004,0,-0.18004,false
has_maxItems__AND__has_maxProperties,has_maxItems,has_maxProperties,2,1821,0.00109709,0,985,10,5471,0,0.18004,0,-0.18004,false
has_maxItems__AND__has_minProperties,has_maxItems,has_minProperties,2,1821,0.00109709,0,985,10,5471,0,0.18004,0,-0.18004,false
has_boolean_schema__AND__has_if_then_else,has_boolean_schema,has_if_then_else,3,1820,0.00164564,0,985,11,5470,0,0.180073,0,-0.180073,false
has_defs__AND__has_maxProperties,has_defs,has_maxProperties,2,1821,0.00109709,0,985,11,5470,0,0.180073,0,-0.180073,false
has_maxProperties__AND__has_ref,has_maxProperties,has_ref,2,1821,0.00109709,0,985,11,5470,0,0.180073,0,-0.180073,false
has_maxLength__AND__has_maxProperties,has_maxLength,has_maxProperties,2,1821,0.00109709,0,985,12,5469,0,0.180106,0,-0.180106,false
has_const__AND__has_maximum,has_const,has_maximum,1,1822,0.000548546,0,985,12,5469,0,0.180106,0,-0.180106,false
has_const__AND__has_minLength,has_const,has_minLength,1,1822,0.000548546,0,985,12,5469,0,0.180106,0,-0.180106,false
has_additionalProperties__AND__has_if_then_else,has_additionalProperties,has_if_then_else,4,1819,0.00219419,0,985,13,5468,0,0.180139,0,-0.180139,false
has_const__AND__has_if_then_else,has_const,has_if_then_else,4,1819,0.00219419,0,985,13,5468,0,0.180139,0,-0.180139,false
has_default__AND__has_not,has_default,has_not,4,1819,0.00219419,0,985,13,5468,0,0.180139,0,-0.180139,false
