feature_pair,feature_a,feature_b,schemas_with_pair,schemas_without_pair,support,under_with_pair,under_without_pair,under_denominator_with,under_denominator_without,under_rate_with,under_rate_without,lift,delta,eligible_lift
has_additionalProperties__AND__has_minProperties,has_additionalProperties,has_minProperties,3,362,0.00821918,0,70,4,752,0,0.0930851,0,-0.0930851,false
has_minProperties__AND__has_type,has_minProperties,has_type,3,362,0.00821918,0,70,4,752,0,0.0930851,0,-0.0930851,false
has_default__AND__has_minLength,has_default,has_minLength,1,364,0.00273973,0,70,4,752,0,0.0930851,0,-0.0930851,false
has_minLength__AND__has_minimum,has_minLength,has_minimum,1,364,0.00273973,0,70,4,752,0,0.0930851,0,-0.0930851,false
has_defs__AND__has_patternProperties,has_defs,has_patternProperties,3,362,0.00821918,0,70,5,751,0,0.0932091,0,-0.0932091,false
has_default__AND__has_defs,has_default,has_defs,2,363,0.00547945,0,70,5,751,0,0.0932091,0,-0.0932091,false
has_anyOf__AND__has_maxLength,has_anyOf,has_maxLength,1,364,0.00273973,0,70,5,751,0,0.0932091,0,-0.0932091,false
has_enum__AND__has_ref,has_enum,has_ref,1,364,0.00273973,0,70,5,751,0,0.0932091,0,-0.0932091,false
has_defs__AND__has_enum,has_defs,has_enum,14,351,0.0383562,0,70,7,749,0,0.0934579,0,-0.0934579,false
has_allOf__AND__has_defs,has_allOf,has_defs,14,351,0.0383562,0,70,8,748,0,0.0935829,0,-0.0935829,false
has_pattern__AND__has_patternProperties,has_pattern,has_patternProperties,3,362,0.00821918,0,70,8,748,0,0.0935829,0,-0.0935829,false
has_allOf__AND__has_ref,has_allOf,has_ref,2,363,0.00547945,0,70,8,748,0,0.0935829,0,-0.0935829,false
has_items__AND__has_patternProperties,has_items,has_patternProperties,2,363,0.00547945,0,70,8,748,0,0.0935829,0,-0.0935829,false
has_maxLength__AND__has_patternProperties,has_maxLength,has_patternProperties,2,363,0.00547945,0,70,8,748,0,0.0935829,0,-0.0935829,false
has_patternProperties__AND__has_required,has_patternProperties,has_required,3,362,0.00821918,0,70,10,746,0,0.0938338,0,-0.0938338,false
has_patternProperties__AND__has_properties,has_patternProperties,has_properties,5,360,0.0136986,0,70,14,742,0,0.0943396,0,-0.0943396,false
has_minLength__AND__has_patternProperties,has_minLength,has_patternProperties,4,361,0.0109589,0,70,15,741,0,0.0944669,0,-0.0944669,false
has_oneOf__AND__has_patternProperties,has_oneOf,has_patternProperties,5,360,0.0136986,0,70,17,739,0,0.0947226,0,-0.0947226,false
has_maxLength__AND__has_minLength,has_maxLength,has_minLength,8,357,0.0219178,0,70,18,738,0,0.0948509,0,-0.0948509,false
