feature_pair,feature_a,feature_b,schemas_with_pair,schemas_without_pair,support,over_with_pair,over_without_pair,over_denominator_with,over_denominator_without,over_rate_with,over_rate_without,lift,delta,eligible_lift
has_not__AND__has_type,has_not,has_type,7,358,0.0191781,2,57,8,447,0.25,0.127517,1.96053,0.122483,false
has_maxItems__AND__has_minItems,has_maxItems,has_minItems,3,362,0.00821918,1,58,4,451,0.25,0.128603,1.94397,0.121397,false
has_maxItems__AND__has_required,has_maxItems,has_required,3,362,0.00821918,1,58,4,451,0.25,0.128603,1.94397,0.121397,false
has_oneOf__AND__has_pattern,has_oneOf,has_pattern,9,356,0.0246575,3,56,13,442,0.230769,0.126697,1.82143,0.104072,false
has_additionalProperties__AND__has_pattern,has_additionalProperties,has_pattern,10,355,0.0273973,3,56,15,440,0.2,0.127273,1.57143,0.0727273,false
has_boolean_schema__AND__has_pattern,has_boolean_schema,has_pattern,10,355,0.0273973,3,56,15,440,0.2,0.127273,1.57143,0.0727273,false
has_items__AND__has_maxItems,has_items,has_maxItems,4,361,0.0109589,1,58,5,450,0.2,0.128889,1.55172,0.0711111,false
has_maxLength__AND__has_required,has_maxLength,has_required,10,355,0.0273973,2,57,11,444,0.181818,0.128378,1.41627,0.0534398,false
has_minimum__AND__has_required,has_minimum,has_required,9,356,0.0246575,2,57,11,444,0.181818,0.128378,1.41627,0.0534398,false
has_minItems__AND__has_properties,has_minItems,has_properties,12,353,0.0328767,3,56,17,438,0.176471,0.127854,1.38025,0.0486167,false
has_defs__AND__has_ref,has_defs,has_ref,10,355,0.0273973,2,57,14,441,0.142857,0.129252,1.10526,0.0136054,false
has_ref__AND__has_type,has_ref,has_type,10,355,0.0273973,2,57,14,441,0.142857,0.129252,1.10526,0.0136054,false
has_minItems__AND__has_required,has_minItems,has_required,9,356,0.0246575,2,57,14,441,0.142857,0.129252,1.10526,0.0136054,false
has_minimum__AND__has_properties,has_minimum,has_properties,13,352,0.0356164,2,57,16,439,0.125,0.129841,0.962719,-0.00484055,false
has_enum__AND__has_minItems,has_enum,has_minItems,5,360,0.0136986,1,58,9,446,0.111111,0.130045,0.854406,-0.0189337,false
has_items__AND__has_minItems,has_items,has_minItems,14,351,0.0383562,2,57,19,436,0.105263,0.130734,0.805171,-0.0254708,false
has_minItems__AND__has_oneOf,has_minItems,has_oneOf,6,359,0.0164384,1,58,10,445,0.1,0.130337,0.767241,-0.0303371,false
has_additionalProperties__AND__has_not,has_additionalProperties,has_not,1,364,0.00273973,0,59,1,454,0,0.129956,0,-0.129956,false
has_allOf__AND__has_maxItems,has_allOf,has_maxItems,1,364,0.00273973,0,59,1,454,0,0.129956,0,-0.129956,false
has_allOf__AND__has_maxLength,has_allOf,has_maxLength,1,364,0.00273973,0,59,1,454,0,0.129956,0,-0.129956,false
has_allOf__AND__has_minLength,has_allOf,has_minLength,1,364,0.00273973,0,59,1,454,0,0.129956,0,-0.129956,false
has_anyOf__AND__has_maxLength,has_anyOf,has_maxLength,1,364,0.00273973,0,59,1,454,0,0.129956,0,-0.129956,false
has_anyOf__AND__has_maximum,has_anyOf,has_maximum,1,364,0.00273973,0,59,1,454,0,0.129956,0,-0.129956,false
has_anyOf__AND__has_minLength,has_anyOf,has_minLength,1,364,0.00273973,0,59,1,454,0,0.129956,0,-0.129956,false
has_anyOf__AND__has_minimum,has_anyOf,has_minimum,1,364,0.00273973,0,59,1,454,0,0.129956,0,-0.129956,false
has_default__AND__has_maxLength,has_default,has_maxLength,1,364,0.00273973,0,59,1,454,0,0.129956,0,-0.129956,false
has_default__AND__has_maximum,has_default,has_maximum,1,364,0.00273973,0,59,1,454,0,0.129956,0,-0.129956,false
has_default__AND__has_minLength,has_default,has_minLength,1,364,0.00273973,0,59,1,454,0,0.129956,0,-0.129956,false
has_default__AND__has_minimum,has_default,has_minimum,1,364,0.00273973,0,59,1,454,0,0.129956,0,-0.129956,false
has_defs__AND__has_maxLength,has_defs,has_maxLength,1,364,0.00273973,0,59,1,454,0,0.129956,0,-0.129956,false
has_defs__AND__has_minLength,has_defs,has_minLength,1,364,0.00273973,0,59,1,454,0,0.129956,0,-0.129956,false
has_enum__AND__has_maxItems,has_enum,has_maxItems,1,364,0.00273973,0,59,1,454,0,0.129956,0,-0.129956,false
has_enum__AND__has_not,has_enum,has_not,1,364,0.00273973,0,59,1,454,0,0.129956,0,-0.129956,false
has_enum__AND__has_ref,has_enum,has_ref,1,364,0.00273973,0,59,1,454,0,0.129956,0,-0.129956,false
has_items__AND__has_not,has_items,has_not,1,364,0.00273973,0,59,1,454,0,0.129956,0,-0.129956,false
has_maxItems__AND__has_maxLength,has_maxItems,has_maxLength,1,364,0.00273973,0,59,1,454,0,0.129956,0,-0.129956,false
has_maxItems__AND__has_maximum,has_maxItems,has_maximum,1,364,0.00273973,0,59,1,454,0,0.129956,0,-0.129956,false
has_maxItems__AND__has_minLength,has_maxItems,has_minLength,1,364,0.00273973,0,59,1,454,0,0.129956,0,-0.129956,false
has_maxItems__AND__has_minimum,has_maxItems,has_minimum,1,364,0.00273973,0,59,1,454,0,0.129956,0,-0.129956,false
has_maxLength__AND__has_maximum,has_maxLength,has_maximum,1,364,0.00273973,0,59,1,454,0,0.129956,0,-0.129956,false
has_maximum__AND__has_minItems,has_maximum,has_minItems,1,364,0.00273973,0,59,1,454,0,0.129956,0,-0.129956,false
has_maximum__AND__has_oneOf,has_maximum,has_oneOf,1,364,0.00273973,0,59,1,454,0,0.129956,0,-0.129956,false
has_maximum__AND__has_pattern,has_maximum,has_pattern,1,364,0.00273973,0,59,1,454,0,0.129956,0,-0.129956,false
has_minItems__AND__has_minimum,has_minItems,has_minimum,1,364,0.00273973,0,59,1,454,0,0.129956,0,-0.129956,false
has_minLength__AND__has_not,has_minLength,has_not,1,364,0.00273973,0,59,1,454,0,0.129956,0,-0.129956,false
has_minimum__AND__has_multipleOf,has_minimum,has_multipleOf,1,364,0.00273973,0,59,1,454,0,0.129956,0,-0.129956,false
has_minimum__AND__has_pattern,has_minimum,has_pattern,1,364,0.00273973,0,59,1,454,0,0.129956,0,-0.129956,false
has_not__AND__has_pattern,has_not,has_pattern,1,364,0.00273973,0,59,1,454,0,0.129956,0,-0.129956,false
has_allOf__AND__has_ref,has_allOf,has_ref,2,363,0.00547945,0,59,2,453,0,0.130243,0,-0.130243,false
has_anyOf__AND__has_oneOf,has_anyOf,has_oneOf,2,363,0.00547945,0,59,2,453,0,0.130243,0,-0.130243,false
has_default__AND__has_defs,has_default,has_defs,2,363,0.00547945,0,59,2,453,0,0.130243,0,-0.130243,false
has_items__AND__has_maximum,has_items,has_maximum,2,363,0.00547945,0,59,2,453,0,0.130243,0,-0.130243,false
has_maxLength__AND__has_minimum,has_maxLength,has_minimum,2,363,0.00547945,0,59,2,453,0,0.130243,0,-0.130243,false
has_minItems__AND__has_minLength,has_minItems,has_minLength,2,363,0.00547945,0,59,2,453,0,0.130243,0,-0.130243,false
has_multipleOf__AND__has_properties,has_multipleOf,has_properties,2,363,0.00547945,0,59,2,453,0,0.130243,0,-0.130243,false
has_multipleOf__AND__has_type,has_multipleOf,has_type,2,363,0.00547945,0,59,2,453,0,0.130243,0,-0.130243,false
has_not__AND__has_oneOf,has_not,has_oneOf,2,363,0.00547945,0,59,2,453,0,0.130243,0,-0.130243,false
has_allOf__AND__has_minimum,has_allOf,has_minimum,1,364,0.00273973,0,59,2,453,0,0.130243,0,-0.130243,false
