schema_id,dataset_id,schema_path,test_id,test_index,expected_validity,framework_id,framework,actual_result,accepted,result_available,schema_file_bytes,schema_json_chars,instance_json_chars,engine_tokenizer_load_us,engine_init_us,schema_load_us,compile_grammar_us,test_json_dumps_us,tokenize_us,reset_matcher_us,validation_loop_us,compute_mask_us,commit_token_us,max_compute_mask_us,max_commit_token_us,num_tokens,tokens_checked,first_rejected_token_index,error_message,outlines_core_version,schema_serialize_us,regex_build_us,regex_built,regex_chars,regex_bytes,regex_hash,regex_expansion_ratio,regex_num_alternations_proxy,regex_num_groups_proxy,regex_num_repetitions_proxy,regex_max_group_depth_proxy,index_build_us,index_built,guide_init_us,guide_built,total_compile_us,final_status,last_stage,exception_type,exception_message
Github_trivial---o82284.json,Github_trivial,maskbench/data/Github_trivial---o82284.json,Github_trivial---o82284.json::test_00002,2,invalid,outlines,Outlines,passed,False,True,1823,175,22,1214678,657209,780,219803,15,191,4,152,19,110,14,95,12,10,9,,0.2.14,12,17,True,69,69,6a57f42ea9fe3af4bcd0c06f2583de5d63e06d5da33090941b5ceea18721c121,0.394285714,0,2,6,2,128149,True,4,True,219803,completed,completed,,
Github_trivial---o82286.json,Github_trivial,maskbench/data/Github_trivial---o82286.json,Github_trivial---o82286.json::test_00000,0,valid,outlines,Outlines,passed,True,True,1613,111,14,1221601,663931,614,171132,14,707,5,217,61,135,15,60,7,7,,,0.2.14,13,17,True,49,49,2d56fd11de790dbd661070b9185d5c5b14335a9eef7c7dc70874a0c5e5cabb8f,0.441441441,1,3,7,2,79882,True,5,True,171132,completed,completed,,
Github_trivial---o82286.json,Github_trivial,maskbench/data/Github_trivial---o82286.json,Github_trivial---o82286.json::test_00001,1,invalid,outlines,Outlines,passed,False,True,1613,111,40,1221601,663931,614,171132,47,564,11,650,209,405,53,137,14,7,6,,0.2.14,13,17,True,49,49,2d56fd11de790dbd661070b9185d5c5b14335a9eef7c7dc70874a0c5e5cabb8f,0.441441441,1,3,7,2,79882,True,5,True,171132,completed,completed,,
Github_trivial---o82286.json,Github_trivial,maskbench/data/Github_trivial---o82286.json,Github_trivial---o82286.json::test_00002,2,invalid,outlines,Outlines,passed,False,True,1613,111,16,1221601,663931,614,171132,16,167,3,222,66,139,15,59,9,7,6,,0.2.14,13,17,True,49,49,2d56fd11de790dbd661070b9185d5c5b14335a9eef7c7dc70874a0c5e5cabb8f,0.441441441,1,3,7,2,79882,True,5,True,171132,completed,completed,,
Github_trivial---o82288.json,Github_trivial,maskbench/data/Github_trivial---o82288.json,Github_trivial---o82288.json::test_00000,0,valid,outlines,Outlines,failed,False,True,1574,218,270,1223049,666260,899,125489,22,1179,5,15,6,1,6,1,93,1,0,,0.2.14,27,11,True,11,11,840897e948ca0576511730993efc63ad13367ef596985084959056cf1cd7b01a,0.050458716,0,1,2,1,20366,True,4,True,125489,completed,completed,,
Github_trivial---o82288.json,Github_trivial,maskbench/data/Github_trivial---o82288.json,Github_trivial---o82288.json::test_00001,1,valid,outlines,Outlines,failed,False,True,1574,218,331,1223049,666260,899,125489,21,446,5,15,7,1,7,1,106,1,0,,0.2.14,27,11,True,11,11,840897e948ca0576511730993efc63ad13367ef596985084959056cf1cd7b01a,0.050458716,0,1,2,1,20366,True,4,True,125489,completed,completed,,
Github_trivial---o83138.json,Github_trivial,maskbench/data/Github_trivial---o83138.json,Github_trivial---o83138.json::test_00000,0,valid,outlines,Outlines,passed,True,True,5395,671,221,1222201,661184,906,1556608,24,961,5,255001,114720,139993,3409,4792,87,87,,,0.2.14,22,57,True,720,720,df119da1c4ae199f6b016a5415071265c0865f59d1d94ab51489cb4d6736662f,1.073025335,11,15,58,4,1447746,True,5,True,1556608,completed,completed,,
Github_trivial---o83138.json,Github_trivial,maskbench/data/Github_trivial---o83138.json,Github_trivial---o83138.json::test_00001,1,invalid,outlines,Outlines,passed,False,True,5395,671,252,1222201,661184,906,1556608,19,377,5,225960,102064,123621,2883,3911,95,87,86,,0.2.14,22,57,True,720,720,df119da1c4ae199f6b016a5415071265c0865f59d1d94ab51489cb4d6736662f,1.073025335,11,15,58,4,1447746,True,5,True,1556608,completed,completed,,
Github_trivial---o83138.json,Github_trivial,maskbench/data/Github_trivial---o83138.json,Github_trivial---o83138.json::test_00002,2,invalid,outlines,Outlines,passed,False,True,5395,671,188,1222201,661184,906,1556608,24,416,4,56010,25340,30581,2894,3916,77,30,29,,0.2.14,22,57,True,720,720,df119da1c4ae199f6b016a5415071265c0865f59d1d94ab51489cb4d6736662f,1.073025335,11,15,58,4,1447746,True,5,True,1556608,completed,completed,,
Github_trivial---o83139.json,Github_trivial,maskbench/data/Github_trivial---o83139.json,Github_trivial---o83139.json::test_00000,0,valid,outlines,Outlines,passed,True,True,1207,199,35,1210913,697609,624,339584,22,1152,6,17650,7960,9646,3365,4357,12,12,,,0.2.14,12,19,True,105,105,9e768fa601e3fd7ec91ad6f4b6700d143d42f518be0c960619f2158c0bdddcaa,0.527638191,2,2,9,1,242771,True,5,True,339584,completed,completed,,
