feature_pair,feature_a,feature_b,schemas_with_pair,schemas_without_pair,support,under_with_pair,under_without_pair,under_denominator_with,under_denominator_without,under_rate_with,under_rate_without,lift,delta,eligible_lift
has_pattern__AND__has_ref,has_pattern,has_ref,148,1675,0.0811849,0,0,665,5454,0,0,0,0,true
has_items__AND__has_oneOf,has_items,has_oneOf,144,1679,0.0789907,0,0,475,5644,0,0,0,0,true
has_additionalProperties__AND__has_minimum,has_additionalProperties,has_minimum,135,1688,0.0740538,0,0,690,5429,0,0,0,0,true
has_default__AND__has_minimum,has_default,has_minimum,130,1693,0.071311,0,0,560,5559,0,0,0,0,true
has_boolean_schema__AND__has_minimum,has_boolean_schema,has_minimum,129,1694,0.0707625,0,0,655,5464,0,0,0,0,true
has_items__AND__has_minimum,has_items,has_minimum,129,1694,0.0707625,0,0,716,5403,0,0,0,0,true
has_items__AND__has_maxLength,has_items,has_maxLength,122,1701,0.0669227,0,0,748,5371,0,0,0,0,true
has_enum__AND__has_oneOf,has_enum,has_oneOf,120,1703,0.0658256,0,0,410,5709,0,0,0,0,true
has_patternProperties__AND__has_properties,has_patternProperties,has_properties,119,1704,0.065277,0,0,368,5751,0,0,0,0,true
has_patternProperties__AND__has_type,has_patternProperties,has_type,119,1704,0.065277,0,0,368,5751,0,0,0,0,true
has_additionalProperties__AND__has_minItems,has_additionalProperties,has_minItems,118,1705,0.0647285,0,0,518,5601,0,0,0,0,true
has_boolean_schema__AND__has_minItems,has_boolean_schema,has_minItems,115,1708,0.0630828,0,0,511,5608,0,0,0,0,true
has_additionalProperties__AND__has_oneOf,has_additionalProperties,has_oneOf,114,1709,0.0625343,0,0,398,5721,0,0,0,0,true
has_enum__AND__has_minimum,has_enum,has_minimum,111,1712,0.0608886,0,0,567,5552,0,0,0,0,true
has_maximum__AND__has_properties,has_maximum,has_properties,111,1712,0.0608886,0,0,589,5530,0,0,0,0,true
has_maximum__AND__has_type,has_maximum,has_type,111,1712,0.0608886,0,0,589,5530,0,0,0,0,true
has_defs__AND__has_oneOf,has_defs,has_oneOf,110,1713,0.0603401,0,0,346,5773,0,0,0,0,true
