feature_pair,feature_a,feature_b,schemas_with_pair,schemas_without_pair,support,under_with_pair,under_without_pair,under_denominator_with,under_denominator_without,under_rate_with,under_rate_without,lift,delta,eligible_lift
has_boolean_schema__AND__has_type,has_boolean_schema,has_type,111,254,0.30411,17,30,218,536,0.0779817,0.0559701,1.39327,0.0220115,true
has_default__AND__has_type,has_default,has_type,29,336,0.0794521,5,42,60,694,0.0833333,0.0605187,1.37698,0.0228146,true
has_additionalProperties__AND__has_type,has_additionalProperties,has_type,115,250,0.315068,17,30,224,530,0.0758929,0.0566038,1.34077,0.0192891,true
has_oneOf__AND__has_properties,has_oneOf,has_properties,43,322,0.117808,8,39,101,653,0.0792079,0.0597243,1.32622,0.0194836,true
has_oneOf__AND__has_required,has_oneOf,has_required,37,328,0.10137,7,40,88,666,0.0795455,0.0600601,1.32443,0.0194854,true
has_minLength__AND__has_properties,has_minLength,has_properties,24,341,0.0657534,4,43,52,702,0.0769231,0.0612536,1.25581,0.0156695,true
has_oneOf__AND__has_type,has_oneOf,has_type,46,319,0.126027,8,39,106,648,0.0754717,0.0601852,1.25399,0.0152865,true
has_items__AND__has_properties,has_items,has_properties,45,320,0.123288,7,40,95,659,0.0736842,0.060698,1.21395,0.0129862,true
has_defs__AND__has_type,has_defs,has_type,31,334,0.0849315,3,44,42,712,0.0714286,0.0617978,1.15584,0.00963082,true
has_defs__AND__has_ref,has_defs,has_ref,10,355,0.0273973,2,45,29,725,0.0689655,0.062069,1.11111,0.00689655,true
has_ref__AND__has_type,has_ref,has_type,10,355,0.0273973,2,45,29,725,0.0689655,0.062069,1.11111,0.00689655,true
has_minLength__AND__has_type,has_minLength,has_type,28,337,0.0767123,4,43,62,692,0.0645161,0.0621387,1.03826,0.0023774,true
has_minLength__AND__has_oneOf,has_minLength,has_oneOf,11,354,0.030137,2,45,37,717,0.0540541,0.0627615,0.861261,-0.00870745,true
has_enum__AND__has_required,has_enum,has_required,47,318,0.128767,5,42,93,661,0.0537634,0.0635401,0.846134,-0.00977665,true
has_anyOf__AND__has_required,has_anyOf,has_required,14,351,0.0383562,2,45,46,708,0.0434783,0.0635593,0.684058,-0.0200811,true
has_items__AND__has_minLength,has_items,has_minLength,9,356,0.0246575,1,46,24,730,0.0416667,0.0630137,0.661232,-0.021347,true
has_items__AND__has_type,has_items,has_type,67,298,0.183562,7,40,158,596,0.0443038,0.0671141,0.660127,-0.0228103,true
has_enum__AND__has_properties,has_enum,has_properties,67,298,0.183562,5,42,139,615,0.0359712,0.0682927,0.526721,-0.0323215,true
has_enum__AND__has_items,has_enum,has_items,21,344,0.0575342,1,46,32,722,0.03125,0.0637119,0.490489,-0.0324619,true
has_anyOf__AND__has_properties,has_anyOf,has_properties,24,341,0.0657534,2,45,70,684,0.0285714,0.0657895,0.434286,-0.037218,true
has_enum__AND__has_oneOf,has_enum,has_oneOf,17,348,0.0465753,1,46,37,717,0.027027,0.0641562,0.421269,-0.0371292,true
has_enum__AND__has_type,has_enum,has_type,82,283,0.224658,5,42,179,575,0.027933,0.0730435,0.382416,-0.0451105,true
has_anyOf__AND__has_type,has_anyOf,has_type,26,339,0.0712329,2,45,80,674,0.025,0.0667656,0.374444,-0.0417656,true
has_minItems__AND__has_required,has_minItems,has_required,9,356,0.0246575,0,47,23,731,0,0.0642955,0,-0.0642955,true
has_defs__AND__has_properties,has_defs,has_properties,26,339,0.0712329,0,47,24,730,0,0.0643836,0,-0.0643836,true
has_anyOf__AND__has_items,has_anyOf,has_items,7,358,0.0191781,0,47,25,729,0,0.0644719,0,-0.0644719,true
has_minItems__AND__has_properties,has_minItems,has_properties,12,353,0.0328767,0,47,27,727,0,0.0646492,0,-0.0646492,true
has_additionalProperties__AND__has_patternProperties,has_additionalProperties,has_patternProperties,12,353,0.0328767,0,47,28,726,0,0.0647383,0,-0.0647383,true
has_boolean_schema__AND__has_patternProperties,has_boolean_schema,has_patternProperties,12,353,0.0328767,0,47,28,726,0,0.0647383,0,-0.0647383,true
has_enum__AND__has_pattern,has_enum,has_pattern,7,358,0.0191781,0,47,28,726,0,0.0647383,0,-0.0647383,true
has_additionalProperties__AND__has_enum,has_additionalProperties,has_enum,24,341,0.0657534,0,47,29,725,0,0.0648276,0,-0.0648276,true
has_anyOf__AND__has_enum,has_anyOf,has_enum,8,357,0.0219178,0,47,31,723,0,0.0650069,0,-0.0650069,true
has_boolean_schema__AND__has_enum,has_boolean_schema,has_enum,25,340,0.0684932,0,47,32,722,0,0.065097,0,-0.065097,true
has_items__AND__has_minItems,has_items,has_minItems,14,351,0.0383562,0,47,36,718,0,0.0654596,0,-0.0654596,true
has_minItems__AND__has_type,has_minItems,has_type,15,350,0.0410959,0,47,37,717,0,0.0655509,0,-0.0655509,true
has_maximum__AND__has_properties,has_maximum,has_properties,4,361,0.0109589,14,33,14,740,1,0.0445946,22.4242,0.955405,false
has_additionalProperties__AND__has_maximum,has_additionalProperties,has_maximum,3,362,0.00821918,11,36,11,743,1,0.0484522,20.6389,0.951548,false
has_boolean_schema__AND__has_maximum,has_boolean_schema,has_maximum,3,362,0.00821918,11,36,11,743,1,0.0484522,20.6389,0.951548,false
has_maximum__AND__has_required,has_maximum,has_required,3,362,0.00821918,11,36,11,743,1,0.0484522,20.6389,0.951548,false
has_additionalProperties__AND__has_minimum,has_additionalProperties,has_minimum,5,360,0.0136986,13,34,14,740,0.928571,0.0459459,20.2101,0.882625,false
has_default__AND__has_maxLength,has_default,has_maxLength,1,364,0.00273973,5,42,5,749,1,0.0560748,17.8333,0.943925,false
has_default__AND__has_maximum,has_default,has_maximum,1,364,0.00273973,5,42,5,749,1,0.0560748,17.8333,0.943925,false
has_default__AND__has_minimum,has_default,has_minimum,1,364,0.00273973,5,42,5,749,1,0.0560748,17.8333,0.943925,false
has_maxLength__AND__has_maximum,has_maxLength,has_maximum,1,364,0.00273973,5,42,5,749,1,0.0560748,17.8333,0.943925,false
has_maximum__AND__has_oneOf,has_maximum,has_oneOf,1,364,0.00273973,5,42,5,749,1,0.0560748,17.8333,0.943925,false
has_maximum__AND__has_pattern,has_maximum,has_pattern,1,364,0.00273973,5,42,5,749,1,0.0560748,17.8333,0.943925,false
has_minimum__AND__has_pattern,has_minimum,has_pattern,1,364,0.00273973,5,42,5,749,1,0.0560748,17.8333,0.943925,false
has_minimum__AND__has_multipleOf,has_minimum,has_multipleOf,1,364,0.00273973,3,44,3,751,1,0.0585885,17.0682,0.941411,false
has_anyOf__AND__has_maximum,has_anyOf,has_maximum,1,364,0.00273973,2,45,2,752,1,0.0598404,16.7111,0.94016,false
has_anyOf__AND__has_minimum,has_anyOf,has_minimum,1,364,0.00273973,2,45,2,752,1,0.0598404,16.7111,0.94016,false
has_patternProperties__AND__has_ref,has_patternProperties,has_ref,1,364,0.00273973,2,45,2,752,1,0.0598404,16.7111,0.94016,false
has_boolean_schema__AND__has_minimum,has_boolean_schema,has_minimum,6,359,0.0164384,13,34,17,737,0.764706,0.046133,16.5761,0.718573,false
has_multipleOf__AND__has_properties,has_multipleOf,has_properties,2,363,0.00547945,4,43,5,749,0.8,0.0574099,13.9349,0.74259,false
has_multipleOf__AND__has_type,has_multipleOf,has_type,2,363,0.00547945,4,43,5,749,0.8,0.0574099,13.9349,0.74259,false
has_items__AND__has_maximum,has_items,has_maximum,2,363,0.00547945,5,42,8,746,0.625,0.0563003,11.1012,0.5687,false
has_maxLength__AND__has_minimum,has_maxLength,has_minimum,2,363,0.00547945,5,42,8,746,0.625,0.0563003,11.1012,0.5687,false
has_defs__AND__has_patternProperties,has_defs,has_patternProperties,3,362,0.00821918,3,44,5,749,0.6,0.058745,10.2136,0.541255,false
has_default__AND__has_pattern,has_default,has_pattern,3,362,0.00821918,5,42,10,744,0.5,0.0564516,8.85714,0.443548,false
has_items__AND__has_maxLength,has_items,has_maxLength,4,361,0.0109589,6,41,13,741,0.461538,0.0553306,8.34146,0.406208,false
has_maxLength__AND__has_pattern,has_maxLength,has_pattern,3,362,0.00821918,6,41,13,741,0.461538,0.0553306,8.34146,0.406208,false
has_items__AND__has_minimum,has_items,has_minimum,3,362,0.00821918,5,42,12,742,0.416667,0.0566038,7.36111,0.360063,false
has_default__AND__has_oneOf,has_default,has_oneOf,5,360,0.0136986,5,42,13,741,0.384615,0.0566802,6.78571,0.327935,false
has_default__AND__has_items,has_default,has_items,5,360,0.0136986,5,42,14,740,0.357143,0.0567568,6.29252,0.300386,false
has_minimum__AND__has_oneOf,has_minimum,has_oneOf,4,361,0.0109589,5,42,15,739,0.333333,0.0568336,5.86508,0.2765,false
has_enum__AND__has_not,has_enum,has_not,1,364,0.00273973,1,46,3,751,0.333333,0.0612517,5.44203,0.272082,false
has_items__AND__has_not,has_items,has_not,1,364,0.00273973,1,46,3,751,0.333333,0.0612517,5.44203,0.272082,false
has_minLength__AND__has_not,has_minLength,has_not,1,364,0.00273973,1,46,3,751,0.333333,0.0612517,5.44203,0.272082,false
has_maxLength__AND__has_required,has_maxLength,has_required,10,355,0.0273973,5,42,19,735,0.263158,0.0571429,4.60526,0.206015,false
has_allOf__AND__has_enum,has_allOf,has_enum,16,349,0.0438356,3,44,17,737,0.176471,0.0597015,2.95588,0.116769,false
has_not__AND__has_required,has_not,has_required,6,359,0.0164384,2,45,12,742,0.166667,0.0606469,2.74815,0.10602,false
has_not__AND__has_oneOf,has_not,has_oneOf,2,363,0.00547945,1,46,6,748,0.166667,0.0614973,2.71014,0.105169,false
has_allOf__AND__has_required,has_allOf,has_required,17,348,0.0465753,3,44,19,735,0.157895,0.0598639,2.63756,0.0980308,false
has_minLength__AND__has_pattern,has_minLength,has_pattern,5,360,0.0136986,3,44,19,735,0.157895,0.0598639,2.63756,0.0980308,false
has_additionalProperties__AND__has_anyOf,has_additionalProperties,has_anyOf,5,360,0.0136986,2,45,13,741,0.153846,0.0607287,2.53333,0.0931174,false
has_not__AND__has_type,has_not,has_type,7,358,0.0191781,2,45,14,740,0.142857,0.0608108,2.34921,0.0820463,false
has_anyOf__AND__has_boolean_schema,has_anyOf,has_boolean_schema,6,359,0.0164384,2,45,16,738,0.125,0.0609756,2.05,0.0640244,false
has_enum__AND__has_minLength,has_enum,has_minLength,5,360,0.0136986,1,46,12,742,0.0833333,0.0619946,1.3442,0.0213387,false
has_not__AND__has_properties,has_not,has_properties,6,359,0.0164384,1,46,13,741,0.0769231,0.0620783,1.23913,0.0148448,false
has_allOf__AND__has_items,has_allOf,has_items,11,354,0.030137,0,47,0,754,0,0.0623342,0,-0.0623342,false
has_maxItems__AND__has_required,has_maxItems,has_required,3,362,0.00821918,0,47,0,754,0,0.0623342,0,-0.0623342,false
has_additionalProperties__AND__has_maxItems,has_additionalProperties,has_maxItems,2,363,0.00547945,0,47,0,754,0,0.0623342,0,-0.0623342,false
has_boolean_schema__AND__has_maxItems,has_boolean_schema,has_maxItems,2,363,0.00547945,0,47,0,754,0,0.0623342,0,-0.0623342,false
has_defs__AND__has_maxItems,has_defs,has_maxItems,2,363,0.00547945,0,47,0,754,0,0.0623342,0,-0.0623342,false
has_allOf__AND__has_maxItems,has_allOf,has_maxItems,1,364,0.00273973,0,47,0,754,0,0.0623342,0,-0.0623342,false
